codigo,descripcion
CED05,Cogollo Europeo Deshojado Ensalada x Kilo
CED10,Cogollo europeo deshojado hamburguesa x kilo
CEH03,Cogollo Europeo Hidroponico x Kilo
CET02,Cogollo Europeo x Kilo
LCVH021,Lechuga Crespa Verde x Kilo
LRH027,Lechuga Romana x Kilo
RR033,Rugula Rocket x Kilo
MA031,Mix asiatico x kilo
LRH026,Lechuga Romana x Unidad
CEB07,Cebollin por Kilo
CIL08,Cilantro x Kilo
CEH04,Cogollo Europeo Hidroponico x Unidad
CET01,Cogollo Europeo x Unidad
TCY035,Tomate cherry x kilo
CH,Champiñon paris
EB011,Espinaca Baby x Kilo
LCMH018,Lechuga Crespa Morada x Unidad
LCVT022,Lechuga Crespa Verde Tierra x Unidad
LCVH020,Lechuga Crespa Verde x Unidad
MAD055,Mix mizunas deshojado x kilo
TUA039,Tomate uvalina x kilo
MIXD,Mix dumbo
MPN062,Mix parche del niño x kilo
LCMH019,Lechuga Crespa Morada x Kilo
RS034,Rugula Selvatica x Kilo
PJ,Perejil
Rabano,Rabano x kilo
MIC063,Mix incorrecto cocina x kilo
KR013,Kale Rizado x Kilo
EPBD,Espinaca Deshojada x kilo
MM064,Mix mistral x kilo
Romana deshojada,Romana deshojada x kilo
TSM066,Tomate san marzano
LCVT023,Lechuga Crespa Verde de Tierra x Kilo
MPK060,Mix poke x kilo
EB012,Espinaca Bogotana x Kilo
LB015,Lechuga Batavia x Unidad
LLT024,Lechuga Lisa Hidroponica x Unidad
ZB040,Zanahoria Baby x Kilo
RSD,Rugula baby deshojada
BC06,Boch Choy x Kilo
LB014,Lechuga Batavia x Kilo
RCI057,Radiccio x kilo
MCC054,Mix central cevicheria x kilo
MOK065,Mix osaki x kilo
MVÑ061,Mix veleño por kilo
CC010,Col China x Kilo
